processo_numero;processo_ocorrencia
8144385319;Não há Ocorrência para essa Solicitação
8144353618;Não há Ocorrência para essa Solicitação
8144339318;Não há Ocorrência para essa Solicitação
8144337018;Não há Ocorrência para essa Solicitação
8144322318;Não há Ocorrência para essa Solicitação
8144294018;Não há Ocorrência para essa Solicitação
8144235318;Não há Ocorrência para essa Solicitação
8144224019;Imoveis com Danos/Risco
8144201019;Não há Ocorrência para essa Solicitação
8144109619;Imoveis com Danos/Risco
8144082019;Imoveis com Danos/Risco
8144037519;Imoveis com Danos/Risco
8144004118;Imoveis com Danos/Risco
8143987118;Não há Ocorrência para essa Solicitação
8143940518;Não há Ocorrência para essa Solicitação
8143928319;Muro com Danos
8143912118;Não há Ocorrência para essa Solicitação
8143865318;Invasao de Terreno de Auxilio Moradia
8143865318;Não há Ocorrência para essa Solicitação
8143862418;Não há Ocorrência para essa Solicitação
8143856418;Não há Ocorrência para essa Solicitação
8143824518;Não há Ocorrência para essa Solicitação
8143815618;Não há Ocorrência para essa Solicitação
8143809618;Não há Ocorrência para essa Solicitação
8143689018;Não há Ocorrência para essa Solicitação
8143680318;Não há Ocorrência para essa Solicitação
8143638718;Não há Ocorrência para essa Solicitação
8143616318;Não há Ocorrência para essa Solicitação
8143605118;Não há Ocorrência para essa Solicitação
8143601618;Não há Ocorrência para essa Solicitação
8143599118;Não há Ocorrência para essa Solicitação
8143566618;Não há Ocorrência para essa Solicitação
8143546518;Imoveis com Danos/Risco
8143540519;Não há Ocorrência para essa Solicitação
8143498919;Imoveis com Danos/Risco
8143438818;Não há Ocorrência para essa Solicitação
8143418718;Não há Ocorrência para essa Solicitação
8143414118;Não há Ocorrência para essa Solicitação
8143403018;Não há Ocorrência para essa Solicitação
8143390319;Invasao de Terreno de Auxilio Moradia
8143381618;Não há Ocorrência para essa Solicitação
8143366519;Imoveis com Danos/Risco
8143350318;Arvores em Risco
8143320718;Imoveis com Danos/Risco
8143297518;Arvores em Risco
8143297518;Não há Ocorrência para essa Solicitação
8143282818;Não há Ocorrência para essa Solicitação
8143278018;Não há Ocorrência para essa Solicitação
8143274518;Não há Ocorrência para essa Solicitação
8143272218;Não há Ocorrência para essa Solicitação
8143266218;Não há Ocorrência para essa Solicitação
8143166619;Muro com Danos
8143162218;Não há Ocorrência para essa Solicitação
8143019319;Não há Ocorrência para essa Solicitação
8143019319;Deslizamentos de Barreiras
8142995919;Não há Ocorrência para essa Solicitação
8142928118;Imoveis com Danos/Risco
8142916318;Não há Ocorrência para essa Solicitação
8142891018;Não há Ocorrência para essa Solicitação
8142803219;Imoveis com Danos/Risco
8142766019;Deslizamentos de Barreiras
8142766019;Invasao de Terreno de Auxilio Moradia
8142749819;Imoveis com Danos/Risco
8142686619;Invasao de Terreno de Auxilio Moradia
8142680819;Imoveis com Danos/Risco
8142649518;Não há Ocorrência para essa Solicitação
8142646419;Imoveis com Danos/Risco
8142640619;Imoveis com Danos/Risco
8142629219;Imoveis com Danos/Risco
8142624019;Imoveis com Danos/Risco
8142583418;Não há Ocorrência para essa Solicitação
8142579718;Não há Ocorrência para essa Solicitação
8142577418;Não há Ocorrência para essa Solicitação
8142560219;Muro com Danos
8142373018;Não há Ocorrência para essa Solicitação
8142305219;Não há Ocorrência para essa Solicitação
8142225919;Não há Ocorrência para essa Solicitação
8142225018;Imoveis com Danos/Risco
8142062219;Invasao de Terreno de Auxilio Moradia
8142057919;Imoveis com Danos/Risco
8142017719;Imoveis com Danos/Risco
8141856718;Não há Ocorrência para essa Solicitação
8141832919;Imoveis com Danos/Risco
8141819219;Deslizamentos de Barreiras
8141772619;Não há Ocorrência para essa Solicitação
8141726419;Imoveis com Danos/Risco
8141722919;Não há Ocorrência para essa Solicitação
8141700519;Arvores em Risco
8141698019;Imoveis com Danos/Risco
8141643318;Imoveis com Danos/Risco
8141619319;Imoveis com Danos/Risco
8141611219;Arvores em Risco
8141606919;Arvores em Risco
8141513218;Não há Ocorrência para essa Solicitação
8141509319;Imoveis com Danos/Risco
8141501219;Muro com Danos
8141501219;Imoveis com Danos/Risco
8141385418;Imoveis com Danos/Risco
8141222818;Não há Ocorrência para essa Solicitação
8141213918;Não há Ocorrência para essa Solicitação
8141186019;Não há Ocorrência para essa Solicitação
8141156319;Não há Ocorrência para essa Solicitação
8141153618;Não há Ocorrência para essa Solicitação
8141151318;Não há Ocorrência para essa Solicitação
8141104518;Não há Ocorrência para essa Solicitação
8141101618;Muro com Danos
8141080719;Arvores em Risco
8141076118;Não há Ocorrência para essa Solicitação
8141017518;Imoveis com Danos/Risco
8140979619;Imoveis com Danos/Risco
8140975218;Não há Ocorrência para essa Solicitação
8140956818;Imoveis com Danos/Risco
8140934418;Não há Ocorrência para essa Solicitação
8140928418;Não há Ocorrência para essa Solicitação
8140894019;Imoveis com Danos/Risco
8140891119;Imoveis com Danos/Risco
8140881619;Arvores em Risco
8140850518;Arvores em Risco
8140846818;Invasao de Terreno de Auxilio Moradia
8140839019;Não há Ocorrência para essa Solicitação
8140823619;Imoveis com Danos/Risco
8140780718;Não há Ocorrência para essa Solicitação
8140710918;Desabamento Parcial Imoveis
8140680218;Não há Ocorrência para essa Solicitação
8140664718;Não há Ocorrência para essa Solicitação
8140620819;Não há Ocorrência para essa Solicitação
8140600918;Desabamento Parcial Imoveis
8140585018;Não há Ocorrência para essa Solicitação
8140582018;Não há Ocorrência para essa Solicitação
8140512218;Não há Ocorrência para essa Solicitação
8140499618;Não há Ocorrência para essa Solicitação
8140321218;Não há Ocorrência para essa Solicitação
8140282519;Não há Ocorrência para essa Solicitação
8140148918;Não há Ocorrência para essa Solicitação
8140085718;Não há Ocorrência para essa Solicitação
8140049919;Não há Ocorrência para essa Solicitação
8140019219;Imoveis com Danos/Risco
8139988519;Não há Ocorrência para essa Solicitação
8139848919;Não há Ocorrência para essa Solicitação
8139781318;Imoveis com Danos/Risco
8139749019;Não há Ocorrência para essa Solicitação
8139716519;Não há Ocorrência para essa Solicitação
8139671318;Imoveis com Danos/Risco
8139638419;Não há Ocorrência para essa Solicitação
8139618319;Imoveis com Danos/Risco
8139610418;Imoveis com Danos/Risco
8139602019;Muro com Danos
8139556018;Deslizamentos de Barreiras
8139548519;Não há Ocorrência para essa Solicitação
8139522818;Não há Ocorrência para essa Solicitação
8139518919;Imoveis com Danos/Risco
8139515019;Não há Ocorrência para essa Solicitação
8139510819;Invasao de Terreno de Auxilio Moradia
8139493818;Muro com Danos
8139467718;Não há Ocorrência para essa Solicitação
8139464818;Não há Ocorrência para essa Solicitação
8139423018;Deslizamentos de Barreiras
8139412619;Não há Ocorrência para essa Solicitação
8139385018;Deslizamentos de Barreiras
8139301019;Não há Ocorrência para essa Solicitação
8139276519;Imoveis com Danos/Risco
8139255819;Não há Ocorrência para essa Solicitação
8139241719;Não há Ocorrência para essa Solicitação
8139192619;Não há Ocorrência para essa Solicitação
8139182019;Imoveis com Danos/Risco
8139168819;Imoveis com Danos/Risco
8139158219;Não há Ocorrência para essa Solicitação
8139118019;Imoveis com Danos/Risco
8139102719;Imoveis com Danos/Risco
8138983118;Não há Ocorrência para essa Solicitação
8138949619;Não há Ocorrência para essa Solicitação
8138912519;Desabamento Parcial Imoveis
8138817418;Não há Ocorrência para essa Solicitação
8138750718;Imoveis com Danos/Risco
8138609218;Imoveis com Danos/Risco
8138567619;Não há Ocorrência para essa Solicitação
8138555018;Não há Ocorrência para essa Solicitação
8138546919;Não há Ocorrência para essa Solicitação
8138478518;Não há Ocorrência para essa Solicitação
8138422819;Imoveis com Danos/Risco
8138387819;Imoveis com Danos/Risco
8138383219;Não há Ocorrência para essa Solicitação
8138264319;Não há Ocorrência para essa Solicitação
8138230318;Imoveis com Danos/Risco
8138206319;Incendios
8138189119;Muro com Danos
8138189119;Arvores em Risco
8138174618;Imoveis com Danos/Risco
8138137119;Deslizamentos de Barreiras
8137984219;Não há Ocorrência para essa Solicitação
8137932219;Não há Ocorrência para essa Solicitação
8137861018;Não há Ocorrência para essa Solicitação
8137822219;Não há Ocorrência para essa Solicitação
8137779019;Arvores em Risco
8137759018;Não há Ocorrência para essa Solicitação
8137734619;Não há Ocorrência para essa Solicitação
8137719719;Não há Ocorrência para essa Solicitação
8137703319;Arvores em Risco
8137703319;Não há Ocorrência para essa Solicitação
8137598519;Não há Ocorrência para essa Solicitação
8137594019;Não há Ocorrência para essa Solicitação
8137533218;Não há Ocorrência para essa Solicitação
8137487018;Arvores em Risco
8137484118;Não há Ocorrência para essa Solicitação
8137480618;Não há Ocorrência para essa Solicitação
8137437119;Imoveis com Danos/Risco
8137386018;Não há Ocorrência para essa Solicitação
8137345019;Não há Ocorrência para essa Solicitação
8137286319;Imoveis com Danos/Risco
8137203218;Incendios
8137133219;Deslizamentos de Barreiras
8137108018;Não há Ocorrência para essa Solicitação
8137098219;Não há Ocorrência para essa Solicitação
8137096019;Imoveis com Danos/Risco
8137088719;Não há Ocorrência para essa Solicitação
8137080818;Não há Ocorrência para essa Solicitação
8137070019;Muro com Danos
8137057618;Não há Ocorrência para essa Solicitação
8136974518;Não há Ocorrência para essa Solicitação
8136968518;Não há Ocorrência para essa Solicitação
8136968518;Imoveis com Danos/Risco
8136960219;Arvores em Risco
8136958018;Não há Ocorrência para essa Solicitação
8136936419;Imoveis com Danos/Risco
8136910718;Imoveis com Danos/Risco
8136897018;Deslizamentos de Barreiras
8136853119;Não há Ocorrência para essa Solicitação
8136754518;Não há Ocorrência para essa Solicitação
8136741919;Não há Ocorrência para essa Solicitação
8136738819;Não há Ocorrência para essa Solicitação
8136711418;Não há Ocorrência para essa Solicitação
8136704818;Não há Ocorrência para essa Solicitação
8136593118;Imoveis com Danos/Risco
8136585918;Não há Ocorrência para essa Solicitação
8136547018;Imoveis com Danos/Risco
8136534518;Imoveis com Danos/Risco
8136489018;Não há Ocorrência para essa Solicitação
8136441718;Imoveis com Danos/Risco
8136424319;Imoveis com Danos/Risco
8136379018;Não há Ocorrência para essa Solicitação
8136375418;Imoveis com Danos/Risco
8136327819;Imoveis com Danos/Risco
8136303119;Deslizamentos de Barreiras
8136191919;Muro com Danos
8136186519;Invasao de Terreno de Auxilio Moradia
8136180719;Alagamentos
8136171819;Não há Ocorrência para essa Solicitação
8136152319;Não há Ocorrência para essa Solicitação
8136149219;Não há Ocorrência para essa Solicitação
8136144019;Imoveis com Danos/Risco
8136130019;Deslizamentos de Barreiras
8136125818;Não há Ocorrência para essa Solicitação
8136078819;Não há Ocorrência para essa Solicitação
8136018519;Não há Ocorrência para essa Solicitação
8136005218;Não há Ocorrência para essa Solicitação
8136000018;Deslizamentos de Barreiras
8135815018;Imoveis com Danos/Risco
8135813619;Imoveis com Danos/Risco
8135802618;Não há Ocorrência para essa Solicitação
8135761818;Arvores em Risco
8135761818;Imoveis com Danos/Risco
8135754019;Não há Ocorrência para essa Solicitação
8135737018;Imoveis com Danos/Risco
8135713318;Não há Ocorrência para essa Solicitação
8135652219;Imoveis com Danos/Risco
8135644019;Deslizamentos de Barreiras
8135641019;Imoveis com Danos/Risco
8135572919;Invasao de Terreno de Auxilio Moradia
8135561719;Imoveis com Danos/Risco
8135556518;Não há Ocorrência para essa Solicitação
8135528118;Não há Ocorrência para essa Solicitação
8135490418;Não há Ocorrência para essa Solicitação
8135373619;Imoveis com Danos/Risco
8135265919;Imoveis com Danos/Risco
8135262019;Imoveis com Danos/Risco
8135247218;Não há Ocorrência para essa Solicitação
8135247218;Muro com Danos
8135214718;Não há Ocorrência para essa Solicitação
8135140119;Imoveis com Danos/Risco
8135125418;Imoveis com Danos/Risco
8135073219;Muro com Danos
8135073219;Imoveis com Danos/Risco
8135031018;Não há Ocorrência para essa Solicitação
8134992419;Muro com Danos
8134992419;Imoveis com Danos/Risco
8134920518;Não há Ocorrência para essa Solicitação
8134830419;Imoveis com Danos/Risco
8134824419;Imoveis com Danos/Risco
8134824419;Não há Ocorrência para essa Solicitação
8134805019;Imoveis com Danos/Risco
8134789419;Não há Ocorrência para essa Solicitação
8134716719;Não há Ocorrência para essa Solicitação
8134677119;Não há Ocorrência para essa Solicitação
8134628019;Não há Ocorrência para essa Solicitação
8134596119;Muro com Danos
8134596119;Imoveis com Danos/Risco
8134579118;Imoveis com Danos/Risco
8134509119;Não há Ocorrência para essa Solicitação
8134458819;Imoveis com Danos/Risco
8134427718;Arvores em Risco
8134388118;Não há Ocorrência para essa Solicitação
8134388019;Não há Ocorrência para essa Solicitação
8134263418;Não há Ocorrência para essa Solicitação
8134248319;Imoveis com Danos/Risco
8134227619;Não há Ocorrência para essa Solicitação
8134081318;Não há Ocorrência para essa Solicitação
8134079918;Não há Ocorrência para essa Solicitação
8134060618;Não há Ocorrência para essa Solicitação
8134020219;Imoveis com Danos/Risco
8133992019;Não há Ocorrência para essa Solicitação
8133974219;Imoveis com Danos/Risco
8133949819;Imoveis com Danos/Risco
8133945219;Não há Ocorrência para essa Solicitação
8133934019;Não há Ocorrência para essa Solicitação
8133933618;Imoveis com Danos/Risco
8133933618;Invasao de Terreno de Auxilio Moradia
8133913319;Imoveis com Danos/Risco
8133906719;Imoveis com Danos/Risco
8133896119;Não há Ocorrência para essa Solicitação
8133869618;Não há Ocorrência para essa Solicitação
8133849518;Imoveis com Danos/Risco
8133847218;Não há Ocorrência para essa Solicitação
8133830218;Imoveis com Danos/Risco
8133736419;Não há Ocorrência para essa Solicitação
8133591818;Não há Ocorrência para essa Solicitação
8133545419;Imoveis com Danos/Risco
8133355218;Não há Ocorrência para essa Solicitação
8133321018;Imoveis com Danos/Risco
8133319618;Não há Ocorrência para essa Solicitação
8133286919;Não há Ocorrência para essa Solicitação
8133251218;Imoveis com Danos/Risco
8133228919;Muro com Danos
8133208819;Imoveis com Danos/Risco
8133205919;Não há Ocorrência para essa Solicitação
8133175219;Não há Ocorrência para essa Solicitação
8133153018;Não há Ocorrência para essa Solicitação
8133035619;Imoveis com Danos/Risco
8132990618;Não há Ocorrência para essa Solicitação
8132964518;Não há Ocorrência para essa Solicitação
8132952718;Não há Ocorrência para essa Solicitação
8132896819;Muro com Danos
8132821018;Não há Ocorrência para essa Solicitação
8132812018;Não há Ocorrência para essa Solicitação
8132785119;Imoveis com Danos/Risco
8132652119;Imoveis com Danos/Risco
8132650919;Imoveis com Danos/Risco
8132611518;Não há Ocorrência para essa Solicitação
8132585219;Incendios
8132585219;Imoveis com Danos/Risco
8132582518;Imoveis com Danos/Risco
