processo_numero,solicitacao_data,solicitacao_hora,solicitacao_descricao,solicitacao_bairro,solicitacao_localidade,solicitacao_endereco,processo_ocorrencia,is_confirmed,latitude,longitude,location_strategy,ground_type
8012042318,2018-01-26,14:59,USUÁRIA SOLICITA UMA VISTORIA DE ARVORE QUE FICA NO QUINTAL DE SEU VIZINHO E ESTÁ OFERECENDO RISCO DE CAIR E ATINGIR A SUA RESIDENCIA.,AFOGADOS,AFOGADOS,"RUA GENERAL CARLOS LIRA,PRÓXIMO A RESIDENCIA DE N 206",Arvores em Risco,-1,-8.0791275,-34.9104756,google maps api,URBANO
8010865218,2018-01-24,12:23,SOLICITA VISTORIA POIS SUA RESIDENCIA ESTA APRESENTANDO RACHADURAS,AFOGADOS,AFOGADOS,RUA,Arvores em Risco,-1,-8.0829693,-34.9224651,google maps api,HP
8068738517,2017-07-28,21:25,"o usuario informa que o seu apartamento e de outros moradores estão apresentando infiltrações principalmente no teto.favor verificar, o mesmo pede vistoria.",AFOGADOS,AFOGADOS,RUA ESCRITOR  ALVARO LINS,Imoveis Alagados,-1,-8.0691554,-34.9125085,google maps api,HP
8107931117,2017-11-23,07:23,USUÁRIO SOLICITA VISTORIA NA RESIDENCIA INFORMA QUE OCORREU UM INCÊNDIO NO LOCAL NA MADRUGADA E CORPO DE BOMBEIRO VERIFICOU QUE A RESIDENCIA ESTA COM A ESTRUTURA COMPROMETIDA PEDE URGÊNCIA PARA O COMPARECIMENTO DA EQUIPE.,AFOGADOS,AFOGADOS,"RUA CARLOS PENHA FILHO N, 84",Incendios,-1,-8.0814453,-34.9170551,google maps api,URBANO
8043095317,2017-05-20,05:27,"CONTATO: ANTONISD SABRINA INFORMA QUE OUVE INCÊNDIO E SOLICITA O ACOMPANHAMENTO DA SEDEC NO LOCAL, FOGO JA CONTROLADO. SEM VITIMAS.",AFOGADOS,AFOGADOS,"estrada dos remédios, 1526",Incendios,-1,-8.066575499999999,-34.9081897,google maps api,URBANO
8060142617,2017-07-05,13:24,USUARIO INFORMA QUE EXISTE UM PE DE MANGA GRANDE E AO REDOR EXISTEM VARIAS CASAS. O MESMO INFROMA QUE A ARVORE PODE VIR A CAIR. POR TRAS DO NUMERO 112.,AFOGADOS,AFOGADOS,RUA DA BACIA,Arvores em Risco,-1,-8.0691611,-34.9095923,google maps api,URBANO
8034920915,2015-11-13,03:16,"SARGENTO REGINALDO INFORMOU QUE TEVE UM INCÊNDIO NO LOCAL ONDE DEIXOU A ESTRUTURA DANIFICADA, A EQUIPE DO CORPO DE BOMBEIROS PEDE O COMPARECIMENTO DA DEFESA CIVIL.",AFOGADOS,AFOGADOS,"ESTRADA DOS REMÉDIOS, N 1547",Incendios,-1,-8.066443699999999,-34.908461,google maps api,URBANO
8003606916,2016-01-29,16:44,USUÁRIO INFORMA QUE ARVORE CAIU E SOLICITA URGÊNCIA,AFOGADOS,AFOGADOS,"RUA AMARO DUARTE N,75",Arvores em Risco,-1,-8.077088,-34.9132941,google maps api,URBANO
8003856516,2016-01-30,13:18,USUÁRIO SOLICITA  VISTORIA EM ARVORE,AFOGADOS,AFOGADOS,"RUA GENERAL CARLOS LIRA N, 196",Arvores em Risco,-1,-8.0785412,-34.9102954,google maps api,URBANO
8000973215,2015-01-11,14:47,USUARIO INFORMA QUE ACABOU DE HAVER UM INCÊNDIO EM UMA RESIDENCIA. DIZ QUE O FOGO ATINGIU A COZINHA E UM QUARTO. PEDE URGENCIA.,AFOGADOS,AFOGADOS,"RUA CRUCILANDIA, Nº 199",Incendios,-1,-8.0703068,-34.9138563,google maps api,HP
8003594215,2015-02-10,06:18,USUARIO SOLICITA PRESENÇA DA DEFESA CIVIL NO LOCAL ONDE OCORREU UM INCENDIO. O MESMO DESEJA URGENCIA. SOLICITAÇAO PEDIDA PELO SARGENTO DE LIMA,AFOGADOS,AFOGADOS,"RUA AGRE, 150",Incendios,-1,-8.077032599999999,-34.9091753,google maps api,URBANO
8068734017,2017-07-28,19:54,"a usuária informa que no local se encontra uma arvore pé de tamarindo que está caindo,favor verificar com urgencia.o mesmo informa que se a arvore cair vai atingir a fiação e diversas a casas abaixo.",VARZEA,UR 07,RUA PRESIDENTE  HONORIO HERMETO,Arvores em Risco,-1,-8.0371591,-34.9883948,google maps api,PV1
8068816617,2017-07-30,18:42,"USUÁRIA SOLICITA A VISTORIA EM UM PÉ DE CAJU, A MESMA DIZ QUE A ÁRVORE ESTÁ BALANÇANDO MUITO E ESTÁ COM A RAIZ EXPOSTA. A SOLICITANTE INFORMA QUE O NOME DO MORADOR É RIVALDO SOUTO BARAUNA, TELEFONE: 3083/4119.",VARZEA,JD. TERESOPOLIS,"RUA CORONEL JOÃO RODRIGUES, N 156",Arvores em Risco,-1,-8.0417528,-34.9535576,google maps api,A2
8059423517,2017-07-04,10:11,"USUÁRIO INFORMA QUE DUAS ARVORES( PÉ DE COCO) ESTÁ BEM EM CIMA DA CASA DO VIZINHO, O MESMO INFORMOU QUE AS ARVORES NÃO SÃO DA SUA PROPRIEDADE E NEM DA DO SEU VIZINHO. FAVOR VERIFICAR",VARZEA,BARREIRAS,RUA JOAQUIM GENUINO AMANCIO,Arvores em Risco,-1,-8.023258,-34.9676842,google maps api,LVd2
8065967317,2017-07-21,03:07,"USUARIO INFORMA QUE TODOS OS MORADORES ESTAO ILHADOS E PEDE AJUDA DA DEFESA CIVIL. O MESMO PEDE URGENCIA, POIS, A MAIORIA DOS POPULARES ESTAO FORA DE SUAS RESIDENCAIS.",VARZEA,UR 07,RUA PADRE HENRIQUE N10,Alagamentos,-1,-8.0476706,-34.9616125,google maps api,A2
8061489017,2017-07-07,13:58,SOLICITA UMA VISTORIA DE ARVORE QUE ESTA EM RISCO,VARZEA,JD. TERESOPOLIS,RUA DESEMBARGADOR GODIM,Arvores em Risco,-1,-8.0483995,-34.9590902,google maps api,A2
8061482517,2017-07-07,13:54,SOLICITA UMA VISTORIA DE ARVORE QUE ESTA EM RISCO,VARZEA,JD. TERESOPOLIS,RUA ARISTACO PAVAO,Arvores em Risco,-1,-8.0296776,-34.9750515,google maps api,LVd2
8047798917,2017-06-01,11:39,usuário solicita corte de dois pé de jaca que esta com risco de queda. urgente.,VARZEA,JD. TERESOPOLIS,"rua pelopedas arrochelas galvao, n 44.",Arvores em Risco,-1,-8.0324685,-34.9754449,google maps api,LVd2
8042549017,2017-05-18,16:01,SOLICITA VISTORIA EM UM COQUEIRO QUE OFERECE RISCO DE CAIR E CAUSAR ACIDNTES,VARZEA,UR 07,RUA EXPED. EURICO FERNANDES,Arvores em Risco,-1,-8.0483995,-34.9590902,google maps api,A2
8043648217,2017-05-23,09:56,deseja vistoria pois pé de coco esta com raízes aparecendo e  risco de queda em cima da casa !Urgência,VARZEA,UR 07,rua soldado mario  corcel filho 117,Arvores em Risco,-1,-8.0483995,-34.9590902,google maps api,A2
8046705717,2017-05-31,08:51,"COMUNIDADE ALAGADA, PEDE URGENCIA NO LOCAL.",VARZEA,JD. PETROPOLIS,"RUA TORRE HOMEM, 37",Alagamentos,-1,-8.0419565,-34.9556791,google maps api,A2
8033166517,2017-04-20,11:39,usuaria deseja a vistoria em um pe de macaiba.favor verificar,VARZEA,UR 07,"rua dos cocais,07",Arvores em Risco,-1,-8.0383255,-34.9793616,google maps api,PV1
8025559117,2017-03-28,15:11,"USUÁRIA PEDE VISTORIA E COLOCAÇÃO DE LONA PLÁSTICA EM 2 BARREIRAS QUE FICAVNA PARTE DE TRÁS E NA PARTE DA FRENTE TAMBÉM,A LONA QUE POSSUI ESTÁ RASGADA,PEDE TAMBÉM A ERRADICAÇÃO DE ÁRVORE EM RISCO DE QUEDA. CONTATO COM A VIZINHA A SRA BRANCA. (81)8804 6359 BRANCA",VARZEA,UR 07,RUA DOS LÍRIOS N 81,Arvores em Risco,-1,-8.0333458,-34.9571109,google maps api,A2
8026206517,2017-03-30,10:07,usuario deseja a erradicaçao de um pe de imbauba.,VARZEA,UR 07,"rua tenente rolando ritimista,97",Arvores em Risco,-1,-8.0483995,-34.9590902,google maps api,A2
8079193716,2016-12-23,19:03,"USUÁRIA INFORMA SOBRE DUAS BARREIRAS, UMA EM CIMA DA OUTRA. A DE CIMA NECESSITA DE COLOCAÇÃO DE LONA E A DE BAIXO DE UMA COLOCAÇÃO DE LONA, CAPINAÇÃO E A ERRADICAÇÃO DE UMA EMBAUBA",VARZEA,UR 07,RUA BARRA DO SAZI,Arvores em Risco,-1,-8.0483995,-34.9590902,google maps api,A2
8051343416,2016-08-17,09:42,"ARVORE DA ESPECIE MANGUEIRA ESTÁ ENTRE UM TERRENO DA PREFEITURA E DO SOLICITANTE ESTÁ APRESENTANDO RISCO, VERIFICAR.",VARZEA,JD. TERESOPOLIS,"Logradouro Nome 	Bairro Distrito 	Localidade UF 	CEP  Rua Tenente Roland Rittmíster, N  37",Arvores em Risco,-1,-8.0338236,-34.9777928,google maps api,PV1
8141700519,2019-11-28,13:01,"USUÁRIA SOLICITA VISTORIA DE ARVORE EM TERRENO PRIVADO, INFORMA QUE ESTÁ COM RISCO DE CAIR SOBRE A RESIDENCIA .",VARZEA,UR 07,"RUA VALE DO SIRIJI,N 190",Arvores em Risco,-1,-8.035188,-34.9814642,google maps api,PV1
8096338419,2019-08-05,14:38,USUÁRIA SOLICITA VISTORIA DE DUAS ARVORES QUE ESTÃO EM ALTO RISCO.,VARZEA,UR 07,"RUA TENENTE ROLAND RITTNISTE , N 99 B",Arvores em Risco,-1,-8.0578381,-34.8828969,google maps api,URBANO
8105277919,2019-08-28,16:39,"USUÁRIO SOLICITA VISTORIA DE ARVORE NA RESIDENCIA, INFORMA QUE ESTÁ INCLINADA  E OFERECENDO RISCO .",VARZEA,JD. PETROPOLIS,"RUA TEIXEIRA DE FREITAS , N 63 A",Arvores em Risco,-1,-8.0483757,-34.9570117,google maps api,A2
8090483219,2019-07-24,06:38,USUÁRIO INFORMA QUE O RIO CAPIBARIBE ESTA ENCHENDO MUITO RÁPIDO E JÁ ENTROU NAS CASAS  ÁGUA NA ALTURA UNS 20 CM FOI BEM RÁPIDO. FAVOR VERIFICAR,VARZEA,UR 07,RUA PADRE HENRIQUE N 17,Elevacao do Nivel do Rio,-1,-8.047775699999999,-34.9616903,google maps api,A2
8092732019,2019-07-26,11:05,USUÁRIO INFORMA SOBRE VÁRIAS RACHADURAS NA CASA E UMA ÁRVORE QUE OFERECE RISCO DE QUEDA.,VARZEA,UR 07,"AV LIBERDADE, 237",Arvores em Risco,-1,-8.0453881,-34.9614049,google maps api,A2
8054484219,2019-05-13,10:57,"USUÁRIA INFORMA QUE TEM UM PÉ DE FRUTA PÃO EM CIMA DA SUA RESIDENCIA , QUE AS GALHAS ESTAO POR CIMA DA SUA RESIDENCIA . URGÊNCIA DA EQUIPE NO LOCAL",VARZEA,UR 07,RUA   EVARISTO FERREIRA DA SILVA N 158,Arvores em Risco,-1,-8.0423784,-34.9500472,google maps api,AGUA
8037666919,2019-04-02,12:13,USUÁRIO  INFORMA QUE SOLICITOU COLOCAÇÃO DE LONA PLASTICA E A EQUIPE JÁ ESTA NO LOCAL A MESMA INFORMA QUE NO LOCAL TEM DUAS ARVORES E DESEJA QUE SEJA CORTADA,VARZEA,UR 07,RUA SÃO VICENTE DE PAULA  N17,Arvores em Risco,-1,-8.033155,-34.976574,google maps api,LVd2
8140846818,2018-11-21,06:56,ESTÃO FAZENDO LIMPEZA EM LOCAL QUE JÁ FOI INTERDITADO PELA DEFESA CIVIL,VARZEA,BARREIRAS,rua pacote de mel 13,Invasao de Terreno de Auxilio Moradia,-1,-8.0483995,-34.9590902,google maps api,A2
8043583618,2018-04-07,07:49,"DESEJA VISTORIA EM IMÓVEL A CASA COMEÇOU ALAGAR DEPOIS DE SERVIÇO DA EMLURB ,DE UMA GALERIA .NESSE MOMENTO O QUARTO AINDA ESTA COM MUITO ÁGUA E LAMA",VARZEA,UR 07,RUA   VALE DO JACUI   14,Imoveis Alagados,-1,-8.0366982,-34.9801365,google maps api,PV1
8044131118,2018-04-09,09:56,"a usuaria informa que está descendo muita agua em direção a sua residencia,favor verificar com urgencia.a mesma informa que entra para dentro de sua casa destruindo utensílios domésticos, ela suspeita de que essa agua vem da casa do vizinho.",VARZEA,BARREIRAS,"RUA   SATUBA,n 50",Alagamentos,-1,-8.0242068,-34.9653773,google maps api,LVd2
8002010118,2018-01-07,20:17,"USUÁRIO INFORMA QUE O SEU IMÓVEL INTERDITADO PELA DEFESA CIVIL FOI INVADIDO POR TERCEIROS, ONDE O MESMO JÁ ENTROU EM CONTATO COM A PM. O SENHOR SERGIO TAMBÉM ENTROU EM CONTATO COM PATRÍCIA ALEXANDRE DA DEFESA CIVIL PEDIU PARA ELE ENTRAR EM CONTATO COM A NOSSA CENTRAL PARA REGISTRAR O ACONTECIMENTO, POIS A CASA ESTÁ CORRENDO RISCO DE DESABAR. FAVOR VERIFICAR.",VARZEA,UR 07,"RUA CABURAI, N 89",Invasao de Terreno de Auxilio Moradia,-1,-8.0384389,-34.9814684,google maps api,PV1
8117518017,2017-12-21,10:21,"DESEJA VISTORIA  ARVORE CAIU EM CIMA DA CASA (JUREMA BRANCA DE GRANDE PORTE ) ,TEM UMA COM RISCO DE QUEDA A PONTO DE DESTRUIR O IMÓVEL .( ARVORE DANIFICOU TELHADO)",VARZEA,UR 07,RUA SEIS DE MARÇO 56,Arvores em Risco,-1,-8.0457919,-34.9552925,google maps api,A2
8066355117,2017-07-21,14:31,"USUARIA SOLICITA VISTORIA EM ARVORE COQUEIRO DE GRANDE PORTE, ESTA DENTRO DA RESIDENCIA E PENDEU PARA O LADO DE FORA.",VARZEA,UR 07,RUA TENENTE ROLAND RITTMISTER,Arvores em Risco,-1,-8.0337322,-34.9767373,google maps api,LVd2
8074386017,2017-08-15,18:02,"USUÁRIO SOLICITA VISTORIA PARA ÁRVORE QUE FICA NA RUA ENTRE VÁRIAS CASAS,INFORA QUE A ARVORE JÁ ATINGIU PAREDE DO TERRAÇO DA MESMA ONDE HÁ RACHADURAS.",VARZEA,JD. TERESOPOLIS,RUA  PELOPIDAS ARROXELA GALVÃO 68,Arvores em Risco,-1,-8.0323872,-34.97549619999999,google maps api,LVd2
8027402922,2022-03-22,02:53,"A SOLICITANTE INFORMA QUE A SUA CASA E DE MUITAS VIZINHANÇAS ESTAO TOTALMENTE ALAGADAS DEVIDO AS FORTES CHUVAS,FAVOR VERIFICAR COM URGENCIA.",VARZEA,UR 07,1TR PADRE HENRIQUE,Imoveis Alagados,-1,-8.0476706,-34.9616125,google maps api,A2
8036069921,2021-04-23,09:35,"USUÁRIA SOLICITA COLOCAÇÃO DE LONA, PRECISA DE CAPINAÇÃO E CORTE DE ÁRVORES",VASCO DA GAMA,CGO. DO BOTIJAO,"RUA FREDERICO OZANA, 610",Arvores em Risco,-1,-8.012244299999999,-34.9165066,google maps api,A2
8027404122,2022-03-22,03:39,A SOLICITANTE INFORMA QUE DEVIDO AS FORTES CHUVAS A SUA CASA FOI DOMINADA AO ALAGAMENTO PERDENDO DIVERSOS PERTENCES.FAVOR VERIFICAR COM URGENCIA.,VARZEA,UR 07,"1TR PADRE HENRIQUE, S N",Imoveis Alagados,-1,-8.0476706,-34.9616125,google maps api,A2
8106172821,2021-11-30,13:01,SRA SOLICITA VISTORIA NUM TERRENO QUE FOI CONDENADO PELA SEDEC E ESTA SENDO INVADIDO,VARZEA,BARREIRAS,BRUNA CASSIANA DINIZ OLIVEIRA,Invasao de Terreno de Auxilio Moradia,-1,-8.0483995,-34.9590902,google maps api,A2
8083345921,2021-09-16,13:58,"USUÁRIA SOLICITA VISTORIA, POIS A FIAÇÃO DO PRIMEIRO ANDAR DO PRÉDIO PEGOU FOGO, O FOGO SE ALASTROU PELO CORREDOR E PELAS PAREDES.",VARZEA,UR 07,"RUA ESTEVÃO DE SÁ, 401",Incendios,-1,-8.0396508,-34.94821170000001,google maps api,AGUA
8069725221,2021-08-07,20:17,"informa que arvore caiu por cima de fiacao eletricaorientado ao mesmo entrar em contato com a celpe, porem, informa que celpe disse que o contato deveria ser com a defesa civil",VARZEA,JD. PETROPOLIS,"rua lebon regis, 641",Arvores em Risco,-1,-8.0387537,-34.9639181,google maps api,LVd2
8043302721,2021-05-13,18:48,USUÁRIA INFORMA QUE O NÍVEL DO RIO ELEVOU MUITO E INVADIU A SUA RESIDÊNCIA. SUA CASA ESTA CHEIA DE RACHADURAS E ENCONTRA/SE DESESPERADA DEVIDO A ENCHENTE.,VARZEA,UR 07,1  TRAVESSA FABIO HENRIQUE S N,Elevacao do Nivel do Rio,-1,-8.0239708,-34.9499865,google maps api,A2
8043306221,2021-05-13,18:51,INFORMA QUE O NÍVEL DO RIO SUBIU MUITO E INVADIU A SUA RESIDÊNCIA CAUSANDO RACHADURAS E OUTROS TIPOS DE DANOS. A MESMA ENCONTRA/SE DESEPERADA POIS NÃO TEM PARA ONDE IR.,VARZEA,UR 07,1  TRAVESSA PADRE HENRIQUE.,Elevacao do Nivel do Rio,-1,-8.105225599999999,-34.9504832,google maps api,PV1
8033556621,2021-04-15,12:37,SOLICITA VISTORIA DE UMA ÁRVORE NO QUINTAL DO VIZINHO.,VARZEA,BARREIRAS,"RUA MATA GRANDE, PRÓXIMO A RESIDÊNCIA N 90",Arvores em Risco,-1,-8.0483995,-34.9590902,google maps api,A2
8022858621,2021-03-12,11:48,"USUÁRIO SOLICITA COLOCAÇÃO DE LONA, CAPINAÇÃO E RETIRADA DE DUAS ÁRVORES.",VARZEA,UR 07,"RUA JOSÉ ALVES DO NASCIMENTO, 176",Arvores em Risco,-1,-8.0344458,-34.9716015,google maps api,LVd2
8089741520,2020-12-23,23:01,usuário informa sobre incêndio no endereço. Há uma equipe dos Bombeiros no local que necessitam de auxilio.Não há vítimamas,VARZEA,UR 07,"Rua Senador Barros de Carvalho, 81",Incendios,-1,-8.0228184,-34.9514001,google maps api,A2
8050124520,2020-07-06,08:04,"USUÁRIA SOLICITA VISTORIA EM UMA ÁRVORE, QUE ESTÁ COM RISCO DE CAIR  EM CIMA DA CASA. PEDE TAMBÉM QUE SEJA VERIFICADO A ESTRUTURA DA CAIXA DE ÁGUA QUE ESTÁ COM RACHADURAS.",VARZEA,BARREIRAS,"AVENIDA BARÃO DE BONITO, 811",Arvores em Risco,-1,-8.041380000000002,-34.9526381,google maps api,A2
8050181920,2020-07-06,10:40,USUÁRIO INFORMA SOBRE COQUEIRO INCLINADO PARA A CASA DA VIZINHA E OFERECENDO GRANDE RISCO DE QUEDA. FAVOR VERIFICAR.,VARZEA,UR 07,"RUA ALEXANDRE DE CARVALHO, 30",Arvores em Risco,-1,-8.0378653,-34.9866988,google maps api,PV1
8025104420,2020-02-21,10:31,"USUÁRIA SOLICITA VISTORIA, POIS INFORMA QUE O VIZINHO PLANTOU 5 PÉS DE BANANEIRA E ESTÃO MUITO ALTOS.",VARZEA,JD. TERESOPOLIS,"Rua Tenente Roland Rittmíster, 161",Arvores em Risco,-1,-8.0337354,-34.9774957,google maps api,PV1
8013983820,2020-02-03,09:37,"USUÁRIO INFORMA QUE TEM UMA ARVORE QUE ESTA COM RISCO DE QUEDA EM UM TERRENO QUE FOI INVADIDO POR MESMO QUE É DA PREFEITURA O MESMO INFORMA QUE JA FALOU COM SECRETARIA DO MEIO AMBIENTE E COBRARAM UMA TAXA DE 300,00 REAIS E NAO TEM CONDIÇOES.",VARZEA,UR 07,RUA ESTAVAM DE SA 613,Arvores em Risco,-1,-8.0413275,-34.9492005,google maps api,AGUA
8132466319,2019-11-06,16:06,"USUÁRIA SOLICITA VISTORIA DE UMA ARVORE QUE ESTÁ EM UM TERRENO , INFORMA QUE ESTÁ OFERECENDO RISCO E  RACHOU O MURO .",VARZEA,BARREIRAS,"RUA CORONEL JOÃO RODRIGUES , AO LADO DA RESIDENCIA DE N 156",Arvores em Risco,-1,-8.0416513,-34.9542102,google maps api,A2
8068586722,2022-06-16,10:09,deseja vistoria na casa que alagou a casa toda e perdeu tudo.,VARZEA,JD. TERESOPOLIS,rua nilopolis n 52,Imoveis Alagados,-1,-8.0447686,-34.9523205,google maps api,AGUA
8068589622,2022-06-16,10:11,deseja vistoria na casa que alagou a casa toda e perdeu tudo.,VARZEA,JD. TERESOPOLIS,rua nilopolis n 269,Imoveis Alagados,-1,-8.0449033,-34.9522585,google maps api,AGUA
8050889822,2022-05-20,13:32,"usuario informa arvore em risco, pois informa que esta no pe da barreirainforma que esta ventando muito e com muita chuvainforma ser um pe de caju",VARZEA,UR 07,"rua jose alvaro nascimento, 176",Arvores em Risco,-1,-8.0483995,-34.9590902,google maps api,A2
8071309022,2022-06-22,17:05,SOLICITA VISTORIA EM SUA RESIDÊNCIA POIS DEVIDO A UM ESGOTO ESTOURADO EM FRENTE A SUA CASA E AS FORTES CHUVAS ESTÁ INUNDANDO A CASA E DANIFICANDO O ALICERCE DA MESMA EXISTE UMA GRANDE CRATERA EM FRENTE A CASA.,VARZEA,UR 07,RUA CRUZ MACEDO 520,Imoveis Alagados,-1,-8.0334902,-34.9544415,google maps api,A2
8057033122,2022-05-30,08:12,"solicita vistoria, informa que existem árvores em um casa que têm duas árvores em risco no terreno",VARZEA,UR 07,"rua luis agusto rabelo, 28",Arvores em Risco,-1,-8.0397271,-34.9888408,google maps api,PV1
8057232422,2022-05-30,10:23,"USUÁRIA INFORMA QUE A CASA FICA LOCALIZADA EM CIMA DE UM CÓRREGO QUE TRANSBORDOU ALAGANDO/A, PEDE VISTORIA NA ESTRUTURA DA CASA, QUE RESIDE UMA IDOSA QUE RESISTE SAIR DO LOCAL.",VARZEA,UR 07,"AV. GENERAL JOSÉ MARIA LATINO, N58",Alagamentos,-1,-8.0354524,-34.9843629,google maps api,PV1
8052718622,2022-05-25,06:57,informa que o rio capibaribe esta subindo muito e deseja que a defesa va ate o local retirar as familias. e a agua atingiu ja as casas.,VARZEA,UR 07,rua rio capibaribe n 155,Imoveis Alagados,-1,-8.0509143,-34.9313838,google maps api,URBANO
