processo_numero,solicitacao_data,solicitacao_hora,solicitacao_descricao,solicitacao_bairro,solicitacao_localidade,solicitacao_endereco,processo_ocorrencia,is_confirmed,latitude,longitude,location_strategy,ground_type,ground_amplitude,slope_degree,slope_percentage,danger_level
8011217114,2014-07-14,12:43,"USUÁRIA INFORMA QUE DUAS BARREIRAS CAIRÃO, A QUAL ESTA COM RISCO DE CAIR POR CIMA DA CASA QUE ESTA EM BAIXO, A MESMA INFORMA QUE A BARREIRA AINDA ESTA DESLIZANDO. USUÁRIA SOLICITA LONA.",NOVA DESCOBERTA,CGO. DA AREIA,"RUA   PIRANGUCU, N°47, 45",Deslizamentos de Barreiras,2,-8.0028373,-34.92301880000001,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Alta
8031367121,2021-04-12,09:59,"USUÁRIA SOLICITA CAPINAÇÃO E COLOCAÇÃO DE LONA NA BARREIRA, INFORMA QUE ESTA DESLIZANDO E JÁ CAIU UM PEDAÇO.PEDE QUE LEVE MAIS UMA L ONA PARA COLOCAR NA PARTE DE BAIXO PARA COBRIR A BARREIRA TODA.",GUABIRABA,ALTO JOSE IDALINO,RUA ALPINÓPOLIS N 35,Deslizamentos de Barreiras,2,-7.9963878,-34.934371,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
8074386821,2021-08-19,11:53,BARREIRA DESLIZOU UM PEDACO E MUITO UMIDA. CHEIA DE ARVORES NA BARREIRA,IBURA,UR 10,1 TRAVESSA LAVRINHAS N 70,Deslizamentos de Barreiras,2,-8.1105568,-34.93699350000001,google maps api,LVd2,0 a 40m,0 a 5º,0 a 15%,Baixa
8011204714,2014-07-14,11:36,"DEMANDANTE DESEJA BREVIDADE EM COLOCAÇÃO DE LONA COM BREVIDADE, NAO ACONTECEU DESLIZAMENTO",NOVA DESCOBERTA,CGO. DA AREIA,"TRV NAZARENO, 91",Deslizamentos de Barreiras,2,-8.000928,-34.9298604,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
8052279418,2018-04-23,11:55,USUÁRIO INFORMA QUE NA MADRUGADA DE HOJE METADE DA BARREIRA CAIU E O BARRO ESTA ENCOSTADO NA PAREDE DA SUA RESIDENCIA COM ISSO SOLICITA A MÁXIMA URGÊNCIA DE UMA EQUIPE NO LOCAL A MESMA AFIRMA QUE A BARREIRA ESTA NA METADE DA PAREDE DA RESIDENCIA DE CIMA ONDE A QUALQUER MOMENTO PODE CAIR E PEDI SE POSSÍVEL COLOCAR LONA NESSA BARREIRA  FAVOR VERIFICAR,IBURA,VILA DOS MILAGRES,RUA PARA NUNES SN,Deslizamentos de Barreiras,2,-8.105677,-34.948616,google maps api,PV1,20 a 100m,10 a 30º,0 a 60%,Baixa
8046976216,2016-08-01,10:28,TESTE SOLICITADO POR SUPERVISORA RENATA MARIA.,AFLITOS,AFLITOS,RUA 01,Deslizamentos de Barreiras,2,-8.0397908,-34.896209,google maps api,URBANO,0 a 20m,0 a 5º,0 a 10%,Baixa
8035643321,2021-04-22,08:56,USUÁRIA INFORMA QUE A BARREIRA DESLIZOU UMA PARTE,DOIS UNIDOS,ALTO DO ROSARIO,RUA CAVALCANTI PETRIBU N18,Deslizamentos de Barreiras,2,-7.9909727,-34.9164505,google maps api,LVd4,0 a 40m,0 a 5º,0 a 15%,Baixa
8034833321,2021-04-19,13:13,USUÁRIA INFORMA QUE BARREIRA ESTA COM VARIAS RACHADURAS E SOLICITA VISTORIA.,GUABIRABA,CGO. DA LOURA,RUA MAMORI N 15,Deslizamentos de Barreiras,2,-7.9968856,-34.9349413,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
8095440019,2019-08-02,02:09,USAUÁRIA INFORMA DESLIAMENTO DE BARREIRA POR TRAZ DO IMÓVEL,ALTO SANTA TEREZINHA,ALTO DO PASCOAL,"RUA 10 DE JANEIRO, 221",Deslizamentos de Barreiras,2,-8.017712,-34.8997882,google maps api,A2,20 a 100m,10 a 30º,0 a 60%,Media
8010888014,2014-07-10,15:08,USUARIA INF QUE SUA IRMA ESTA FAZENDO UMA CONSTRUÇAO INRREGULAR NA BARREIRA SOLICITA URGENCIA,NOVA DESCOBERTA,OLHO DAGUA,RUA ALTO ANTONIO FELIX N°5156,Deslizamentos de Barreiras,2,-8.0108495,-34.9253121,google maps api,A2,20 a 100m,10 a 30º,0 a 60%,Media
8031082721,2021-04-11,21:05,"informa que deslizou um pouco da barreira, e informa que a uns 6 dias pediu colocacao de lona porem ate entao tambem nao foi feita",GUABIRABA,CGO. DO MARRECO,"rua corrego do marreco, 387",Deslizamentos de Barreiras,2,-7.998290900000001,-34.9366314,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
8012259014,2014-07-30,15:23,MORADORA SOLICITA CAPINAÇÃO DA BARREIRA E A COLOCAÇÃO DE LONA PLASTICA. PARA EVITAR POSSIVEL DESLIZAMENTO.,NOVA DESCOBERTA,CGO. DO JOAQUIM,"RUA EUXINITA, Nº 30",Deslizamentos de Barreiras,2,-8.000635599999999,-34.9354537,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Baixa
8064158022,2022-06-08,09:20,UMA VISTORIA A BARREIRA DESLIZOU E FECHOU A VIA PRINCIPAL,DOIS IRMAOS,SITIO DOS PINTOS,RUA SITIO SAPUCAIA  N.08,Deslizamentos de Barreiras,2,-8.0083174,-34.9563675,google maps api,A2,20 a 100m,10 a 30º,0 a 60%,Media
8011918014,2014-07-24,16:06,"USUARIA INFORMA QUE BARREIRA DESLIZOU A 1 MES, E O BARRO FICOU RENTE A PAREDE DE SUA CASA. DIZ QUE SE CHOVER FORTE DE NOVO, VAI DERRUBAR A CASA TODA COM SUA FAMILIA DENTRO, POIS NAO TEM PRA ONDE IR. PEDE PROVIDENCIAS URGENTE.",NOVA DESCOBERTA,OLHO DAGUA,"RUA JOSE CARNEIRO LINS, Nº 33/B",Deslizamentos de Barreiras,2,-8.0093865,-34.9242726,google maps api,A2,20 a 100m,10 a 30º,0 a 60%,Media
8011815614,2014-07-23,11:55,DEMANDANTE DESEJA CAPINAÇÃO NA BARREIA. SEM DESLIZAMENTO.,NOVA DESCOBERTA,ALTO DR. CAETES,"RUA DO RATINHO, 40",Deslizamentos de Barreiras,2,-8.0025734,-34.9295888,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Baixa
8030636921,2021-04-10,21:09,USUÁRIO INFORMA SOBRE DESLIZAMENTO DE BARREIRA QUE ESTÁ SE APROXIMANDO DA CASA E PODE DANIFICAR A ESTRUTURA.,DOIS UNIDOS,ALTO DO MARACANA,"SUBIDA DA MEDALHA MILAGROSA, 40",Deslizamentos de Barreiras,2,-8.0052311,-34.9088489,google maps api,URBANO,20 a 100m,10 a 30º,0 a 60%,Media
8090562019,2019-07-24,07:43,sra. solicita a vistoria que deslizou em três pontos.,ALTO SANTA TEREZINHA,ALTO DO PASCOAL,rua dez de janeiro,Deslizamentos de Barreiras,2,-8.0185096,-34.8995463,google maps api,URBANO,20 a 100m,10 a 30º,0 a 60%,Media
8030963021,2021-04-11,14:06,"USUÁRIO SOLICITA COLOCAÇÃO DE LONAS PLASTICAS NA BARREIRA, POIS OCORREU A QUEDA DE UMA PATE DA BARREIRA E TEME QUE HAJA OUTRA QUEDA.",DOIS UNIDOS,DOIS UNIDOS,"RUA ENGENHEIRO CALDAS, N480",Deslizamentos de Barreiras,2,-7.9988004,-34.9207864,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
8012231814,2014-07-30,12:04,USUÁRIA SOLICITA COLOCAÇÃO DE LONA. NÃO OUVE DESLIZAMENTO.,NOVA DESCOBERTA,ALTO JD. PROGRESSO,RUA   HILCA MACHADO N90,Deslizamentos de Barreiras,2,-8.0082181,-34.9241799,google maps api,A2,20 a 100m,10 a 30º,0 a 60%,Media
8058840117,2017-06-30,14:11,USUARIA SOLICITA VISTORIA DA BARREIRA. A MESMA INFORMA QUE A BARREIRTA ESTA CAINDO E ESTA RACHADA.,BREJO DA GUABIRABA,ALTO DAS PEDRINHAS,RUA PRESIDENTE COSTA E SILVA,Deslizamentos de Barreiras,2,-7.9910061,-34.9326554,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
8058754817,2017-06-30,11:44,CLIENTE INFORMA QUE O MORADOR DA CASA QUE FICA NO FINAL DA BARREIRA ESTA FAZENDO ESCAVAÇÕES DEVIDO A ISSO NA MADRUGADA DE HOJE A BARREIRA DESLIZOU E OS DEMAIS MORADORES ESTÃO COM MEDO QUE HAJA NOVOS DESLIZAMENTOS FAVOR VERIFICAR,BREJO DA GUABIRABA,ALTO DAS PEDRINHAS,ALTO DO RESERVATÓRIO,Deslizamentos de Barreiras,2,-8.0142231,-34.9241607,google maps api,A2,20 a 100m,10 a 30º,0 a 60%,Media
8058740717,2017-06-30,11:04,"USUÁRIO SOLICITA VISTORIA NA BARREIRA COM RACHADURAS , INFORMA QUE DESLIZOU E BARRO ESTA POR CIMA DO MURO DO VIZINHO E O RESTANTE DA BARREIRA ESTA COM RISCO DE CAIR PEDE URGÊNCIA.",BREJO DA GUABIRABA,ALTO DAS PEDRINHAS,"RUA ARCA DE NOE N, 140",Deslizamentos de Barreiras,2,-7.991775400000001,-34.9320069,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Baixa
8092032819,2019-07-25,11:46,SR. VISTORIA EM UMA BARREIRA QUE DESLIZOU E ATINGIU UMA PARTE DA CASA .,ALTO SANTA TEREZINHA,ALTO SANTA TEREZINHA,RUA BOM SOSSEGO N 68,Deslizamentos de Barreiras,2,-8.0158132,-34.9098508,google maps api,A2,20 a 100m,10 a 30º,0 a 60%,Media
8032859521,2021-04-14,11:17,USUÁRIA INFORMA QUE BARREIRA DESLIZOU UM POUCO E TEM UMA RESIDENCIA EM CIMA DA BARREIRA.,IBURA,LAGOA ENCANTADA,RUA JOSE MARIA FREIRE N 18,Deslizamentos de Barreiras,2,-8.0249271,-34.9229028,google maps api,A2,20 a 100m,10 a 30º,0 a 60%,Baixa
8011689014,2014-07-22,09:10,USUÁRIO SOLICITA REPOSIÇAO DE LONA.,NOVA DESCOBERTA,NOVA DESCOBERTA,RUA MACAUBAL N 167,Deslizamentos de Barreiras,2,-8.0104547,-34.9258909,google maps api,A2,20 a 100m,10 a 30º,0 a 60%,Media
8030011921,2021-04-08,17:03,SOLICITA VISTORIA EM BARREIRA. INFORMA QUE MORADORES ESTÃO JOGANDO LIXO NA BARREIRA E QUE UMA PARTE DELA JÁ DESLIZOU.,DOIS UNIDOS,DOIS UNIDOS,AVENIDA CHAGAS FERREIRA N1600,Deslizamentos de Barreiras,2,-7.9960606,-34.920566,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
8091321619,2019-07-24,14:47,"USUÁRIO SOLICITA VISTORIA POIS A BARREIRA CEDEU E CORRE RISCO DE CAIR ATINGINDO RESIDÊNCIAS, SOLICITA TAMBÉM A A COLOCAÇÃO DE LONAS PLASTICAS E CAPINAÇÃO.",ALTO SANTA TEREZINHA,ALTO SANTA TEREZINHA,"RUA   TAMBOARA, N 979",Deslizamentos de Barreiras,2,-8.0133287,-34.9053848,google maps api,A2,20 a 100m,10 a 30º,0 a 60%,Media
8056874617,2017-06-26,14:44,USUARIO INFORMA QUE A BARREIRA CAIU E SOLICITA COLOCAÇAO DE LONA,BREJO DA GUABIRABA,ALTO DAS PEDRINHAS,RUA ITAIAMBU,Deslizamentos de Barreiras,2,-8.0142231,-34.9241607,google maps api,A2,20 a 100m,10 a 30º,0 a 60%,Media
8064112022,2022-06-08,08:48,A MESMA INFORMA QUE A BARREIRA DESLIZOU E OS MORADORES NAO ESTA CONSEGUINDO PASSAR POIS A BARREIRA ESTA EMPATANDO A PASSAGEM,DOIS IRMAOS,SITIO DOS PINTOS,RUA SITIO SAPUCAIA N.08,Deslizamentos de Barreiras,2,-8.0083174,-34.9563675,google maps api,A2,20 a 100m,10 a 30º,0 a 60%,Media
8080799719,2019-06-27,09:18,usuaria solicita de urgencia da lona para sua barreira com risco de deslizar,ALTO SANTA TEREZINHA,ALTO DO PASCOAL,RUA JOSEFA GOMES N 30,Deslizamentos de Barreiras,2,-8.015854599999999,-34.9063899,google maps api,A2,20 a 100m,10 a 30º,0 a 60%,Baixa
8032553517,2017-04-19,10:22,usuário deseja vistoria em barreira pois a mesma esta  com infiltração devido a canaleta que quebrou  .risco de deslizamento *,DOIS UNIDOS,ALTO DO ROSARIO,rua da bondade 41,Deslizamentos de Barreiras,2,-7.998426100000001,-34.9188706,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
8069064621,2021-08-05,14:08,"SOLICITA VISTORIA, INFORMA QUE A BARREIRA DESLIZOU.",IBURA,PATANAL,"AV PRESIDENTE MÉDICE , PRÓXIMO A RESIDÊNCIA 957",Deslizamentos de Barreiras,2,-8.1075568,-34.9563071,google maps api,PV1,20 a 100m,10 a 30º,0 a 60%,Media
8010752014,2014-07-09,11:31,"USUÁRIO SOLICITA A CAPINAÇÃO, VISTORIA E COLOCAÇÃO DE LONA NA BARREIRA. POIS ELA JÁ DESLIZOU A 7 DIAS. O MESMO INFORMA QUE O MORADOR DESSA RESIDÊNCIA ESTÁ FAZENDO UM MURO NO LOCAL SEM SE QUER REMOVER O BARRO QUE CAIU DA BARREIRA.",NOVA DESCOBERTA,ALTO JD. PROGRESSO,"RUA RIVERLANDIA, Nº 54",Deslizamentos de Barreiras,2,-8.0050647,-34.9237365,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
8078119219,2019-06-18,18:33,"O USUARIO INFORMA QUE A BARREIRA DE SUA CASA DESLIZOU E DESCEU EM DIREÇAO PARA O QUINTAL DA CASA, O MESMO INFORMA QUE A AGUA DA CHUVA ESTA DESCENDO EM DIREÇAO AO QUINTAL DA CASA.",IBURA,ALTO DA BELA VISTA,"RUA   MANCIO LIMA, N 20",Deslizamentos de Barreiras,2,-8.1208537,-34.9395867,google maps api,LVd2,20 a 100m,10 a 30º,0 a 60%,Alta
8074785819,2019-06-13,14:15,"BARREIRA DESLIZOU , ENCOSTOU NA CASA DA USUÁRIA",ALTO SANTA TEREZINHA,ALTO SANTA TEREZINHA,2 TRAVESSA DA RUA VENCEDORA 30,Deslizamentos de Barreiras,2,-8.0163684,-34.907701,google maps api,A2,20 a 100m,10 a 30º,0 a 60%,Media
8035127521,2021-04-20,09:54,"USUÁRIA SOLICITA VISTORIA, POIS A BARREIRA DESLIZOU HÁ CINCO DIAS E DERRUBOU A METADE DA CASA. INFORMA QUE A DEFESA CIVIL JÁ FOI AO LOCAL, FICOU DE VOLTAR PARA DERRUBAR A CASA, PORÉM AINDA NÃO VOLTOU",DOIS UNIDOS,DOIS UNIDOS,"RUA ENGENHEIRO CÉLIO DE CARLI, 30",Deslizamentos de Barreiras,2,-7.997769399999999,-34.9215106,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
8012076214,2014-07-28,11:48,/USUARIO SOLICITA VISTORIA E COLOCAÇÃO DE LONA EM BARREIRA COM RISCO DE DESLIZAMENTO. O MESMO PEDE URGENCIA.,NOVA DESCOBERTA,ALTO DO LEONARDO,RUA DAS PALMEIRAS N°255 CASA A,Deslizamentos de Barreiras,2,-8.0044798,-34.9310503,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
8060140022,2022-06-02,00:18,A MESMA INFORMA QUE A BARREIRA DESLIZOU NO DIA 01/06/2022POR CIMA DA CASA E SOLICITA UMA VISTORIA.,DOIS IRMAOS,SITIO SAO BRAS,RUA DO SITIO SAO BRAZ  N. SN,Deslizamentos de Barreiras,2,-8.0185465,-34.9590977,google maps api,A2,20 a 100m,10 a 30º,0 a 60%,Media
8012065014,2014-07-28,10:45,USUÁRIA SOLICITA COLOCAÇÃO DE LONA COM URGÊNCIA.,NOVA DESCOBERTA,CGO. DO JOAQUIM,RUA SANTO ANTONIO N 97,Deslizamentos de Barreiras,2,-7.999750299999999,-34.9332777,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
8061132022,2022-06-03,10:04,SOLICITA VISTORIA ARVORE DE GRANDE PORTE COM RISO DE QUEDA NA BARREIRA QUE ESTA DESLIZANDO,DOIS IRMAOS,CGO. DA FORTUNA,RUA ESTRADA DO PASSARINHO 343,Deslizamentos de Barreiras,2,-8.013158899999999,-34.9408299,google maps api,A2,20 a 100m,10 a 30º,0 a 60%,Baixa
8012061514,2014-07-28,10:24,USUÁRIA SOLICITA CAPINAÇÃO EM BARREIRA COM URGÊNCIA. NÃO OUVE DESLISAMENTO.,NOVA DESCOBERTA,NOVA DESCOBERTA,RUA PRIMEIRA SUB DO BOLEIRO N 231,Deslizamentos de Barreiras,2,-7.999621599999999,-34.9281835,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
8012024214,2014-07-26,09:05,"DEMANDANTE INFORMA QUE BARREIRA É MUITO ALTA E PEDE COLOCAÇÃO DE LONA COM BREVIDADE, SEM DESLIZAMENTO",NOVA DESCOBERTA,ALTO JD. PROGRESSO,"RUA HILCA MACHADO, 91",Deslizamentos de Barreiras,2,-8.0076684,-34.9240049,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
8037808021,2021-04-29,08:44,"USUÁRIO SOLICITA VISTORIA, POIS A BARREIRA DESLIZOU",GUABIRABA,CGO. JOSE IDALINO,"RUA LIMA DUARTE, 27",Deslizamentos de Barreiras,2,-7.994911,-34.9354784,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
8047206417,2017-05-31,12:54,USUÁRIO PEDE COLOCAÇÃO DE LONA PLÁSTICA NA BARREIRA POIS HOUVE UM DESLIZAMENTO E TEM MEDO DE DESABAMENTO POIS SUA CASA FICA A UM METRO DA MESMA.,BREJO DA GUABIRABA,ALTO DAS PEDRINHAS,RUA COITÉ N 217,Deslizamentos de Barreiras,2,-7.9930038,-34.9327449,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
8047056217,2017-05-31,11:31,USUÁRIO PEDE REPOSIÇÃO DE LONA PLÁSTICA NESSE LOCAL.,BREJO DA GUABIRABA,ALTO DAS PEDRINHAS,RUA PIRAUÁ N 69,Deslizamentos de Barreiras,2,-7.9920117,-34.9308492,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
8036051417,2017-05-02,15:46,SOLICITA URGENCIA NA COLOCAÇÃO DE LONAS POIS JA CAIU UM PEDAÇO  DA BARREIRA,BREJO DA GUABIRABA,ALTO DAS PEDRINHAS,RUA LIMA DUARTE,Deslizamentos de Barreiras,2,-7.9949973,-34.9355744,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
8047027217,2017-05-31,11:19,usuária informa queda de barreira. urgente. quase atinge a casa. a mesma informa que tem um posto na beira da barreira.,BREJO DA GUABIRABA,ALTO DAS PEDRINHAS,"rua petropolis, n 30.",Deslizamentos de Barreiras,2,-7.9925829,-34.9310327,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
8011983614,2014-07-25,14:17,RECOLOCAÇAO DE LONA COM URGENCIA NAO OCORREU DESLIZAMENTO,NOVA DESCOBERTA,ALTO JD. PROGRESSO,RUA DEMINI N°178,Deslizamentos de Barreiras,2,-7.999621599999999,-34.9281835,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
8030806121,2021-04-11,09:10,DESLIZAMENTO DE BARREIRA ATINGINDO DUAS CASAS. SEM VITIMAS,DOIS UNIDOS,ALTO DO CAPITAO,SUBIDA DO ALTO DO CAPITÃO N111,Deslizamentos de Barreiras,2,-7.999875899999998,-34.9138415,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
