processo_numero,solicitacao_data,solicitacao_hora,solicitacao_descricao,solicitacao_bairro,solicitacao_localidade,solicitacao_endereco,processo_ocorrencia,confirmado,latitude,longitude,cond,em_recife,rain_hour,rain_day,altitude,ground_type,danger_level
8075603022,2022-07-04 13:38:00,13:38,"VISTORIAUSUARIA SOLICITA A VISTORIA NO LOCAL POIS A CASA DELA SOFREU COM O ALAGAMENTO , ELA PERDEU TODOS OS MOVEIS.",IBURA,LAGOA ENCANTADA,UA DOUTOR CESAR MONTEZUMA,Alagamentos,0,-8.116954549999999,-34.95209736849097,False,1,0.7,26.1,69.0,LVd2,Média
8021612119,2019-02-21 09:18:00,09:18,USUARIA SOLICITA DE URGENCIA DA LONA PARA BARREIRA,NOVA DESCOBERTA,CGO. DO ARCANJO,RUA   NACIP RAYDAN n 97,Deslizamentos de Barreiras,1,-8.0049279,-34.9268142,False,1,0.0,0.0,63.0,LVd4,Baixa
8058964217,2017-07-02 07:38:00,07:38,Deslizamento de barreira em duas casa moradores estão presos dentro de casa sem acesso pra saida *muro caiu *urgencia,DOIS IRMAOS,SITIO DOS PINTOS,rua vereador petrus camara  70,Imoveis com Danos/Risco,0,-8.0141058,-34.9600504,False,1,0.0,1.0,18.0,A2,Média
8064235522,2022-06-08 10:13:00,10:13,"USUARIO INFORMA ARVORE EM RISCO DE CAIR SOBRE SUA CASA SOLICITA ERRADICAR, PRECISA DE LONA PLASTICA, MEDIO PORTE. SOLICITA VISTORIA.",NOVA DESCOBERTA,CGO. DA AREIA,"RUA NOVA REZENDE, 40",Arvores em Risco,0,-8.0007319,-34.9240673,False,1,0.0,0.1,32.0,LVd4,Baixa
8080256319,2019-06-26 09:30:00,09:30,USUÁRIA INFORMA QUE ABRIU UM BURACO NA CALÇADA DA CASA E DEVIDO A ESSE BURACO ABRIU UMA RACHADURA ENORME NO QUARTO. COM ABERTURA LARGA E DA PARA VER O OUTRO.,DOIS UNIDOS,DOIS UNIDOS,RUA MAMEDE COELHO N 46,Imoveis com Danos/Risco,0,-8.0039982,-34.9025626,False,1,,,25.0,LVd4,Baixa
8028894418,2018-03-06 08:47:00,08:47,PÉ DE COCO ESTÁ DANIFICANDO A ESTRUTURA DO MURO DE MODO QUE E APRESENTA RACHADURAS E OFERECE RISCO TAMBÉM A UM POSTE,NOVA DESCOBERTA,CGO. DO EUCALIPTO,"RUA ANTONIO TERTULIANO C DE OLIVEIRA, 294",Muro com Danos,0,-8.0069178,-34.9273157,False,1,2.4,14.0,47.0,LVd4,Baixa
8011158514,2014-07-14 09:21:00,09:21,"USUÁRIA INFORMA QUE A BARREIRA DE SUA CASA DESLIZOU. URGENTE, POIS ESTA COM RISCO DE DESLIZAR NOVAMENTE.",LINHA DO TIRO,CGO. DO TIRO,"RUA PROFESSOR JOSE AMARINO DOS REIS, N°163",Deslizamentos de Barreiras,1,-8.0105195,-34.9073316,False,1,0.0,5.0,36.0,URBANO,Baixa
8062970022,2022-06-06 21:24:00,21:24,"solicita lona, precisa capinar.informa que caiu um pedaco da barreira, de grande porteinforma que o barro que caiu esta proximo da sua casa",NOVA DESCOBERTA,CGO. DA AREIA,"rua corrego do leoncio, 9",Deslizamentos de Barreiras,1,-8.0026164,-34.9278948,False,1,0.3,5.1,45.0,LVd4,Média
8073796622,2022-06-29 17:32:00,17:32,SOLICITA VISTORIA EM SUA CASA. DEVIDO AS ULTIMAS CHUVAS FORMOU/SE UMA CRATERA EM FRENTE A SUA CASA QUE ESTÁ QUASE ENGOLINDO O MURO DA CASA A MESMA INFORMA QUE DÁ PRA VER O ALICERCE DA CASA.,IBURA,LAGOA ENCANTADA,RUA DR PAULO DE BIASE 56,Imoveis com Danos/Risco,0,-8.1216495,-34.9471521,False,1,0.0,0.6,73.0,LVd2,Baixa
8077398519,2019-06-18 06:22:00,06:22,USUÁRIO INFORMA QUE SUA BARREIRA ESTÁ DESLIZANDO E ATINGINDO A PARTE POSTERIOR DA RESIDÊNCIA. SOLICITA COMPARECIMENTO PARA COLOCAR LONA E TOMAR PROVIDÊNCIAS PARA QUE NÃO OCORRAM ACIDENTES.NECESSITA DE CAPINAÇÃO.,DOIS UNIDOS,ALTO DO AGAVE,"RUA JOAO CAVALCANTE PETRIBU, 11",Imoveis com Danos/Risco,0,-7.9920682,-34.9179686,False,1,0.6,29.0,24.0,LVd4,Baixa
8082659120,2020-11-25 09:11:00,09:11,Usuário informa que o prédio esta apresentado  rachaduras e filtrações  o mesmo fala que esta tendo uma construção no térreo..,SANCHO,SANCHO,AV LIBERDADE n 1042,Imoveis com Danos/Risco,0,-8.0815297,-34.9650829,False,1,0.0,2.0,23.0,PV1,Baixa
8018968015,2015-06-30 07:33:00,07:33,/USUARIO SOLICITA VISTORIA E COLOCAÇÃO DE LONA EM BARREIRA COM RISCO POIS OCORREU DESLIZAMENTO. O MESMO PEDE URGENCIA,MACAXEIRA,MACAXEIRA,"1TRV FRANCISCO PASSOS, 101",Deslizamentos de Barreiras,1,-8.0118867,-34.9311631,False,1,0.0,8.0,31.0,A2,Baixa
8031027621,2021-04-11 16:43:00,16:43,"SOLICITA LONAS,  VISTORIA DE UMA BARREIRA E UM PÉ DE BAMBU MUITO GRANDE QUE ESTÁ EM CIMA",NOVA DESCOBERTA,CGO. DA AREIA,"RUA CÓRREGO DA AREIA, N 715",Arvores em Risco,0,-7.9999358,-34.9268208,False,1,2.0,146.0,66.0,LVd4,Média
8010643714,2014-07-07 14:19:00,14:19,usuario solicita vistoria em muro de alvenaria o mesmo inf que muro foi construido sem sustentaçao teme acidentes pois muro mede mais de 3 metros,IBURA,VILA DOS MILAGRES,rua santo heleno n°396,Muro com Danos,0,-8.1120823,-34.9471792,False,1,0.4,1.0,39.0,LVd2,Média
8007870216,2016-02-29 08:46:00,08:46,USUÁRIA SOLICITA ERRADICAÇÃO DE ARVORES EM BARREIRA. A MESMA ESTA COM RISCOS DE QUEDA E TEM CASAS NO LOCAL.,DOIS UNIDOS,ALTO DO ROSARIO,"6 TRV COMPOSITOR INALDO MENDONÇA, N 220.",Arvores em Risco,0,-8.0002686,-34.9162442,False,1,0.0,0.0,36.0,LVd4,Média
8062468222,2022-06-06 11:52:00,11:52,USUÁRIO SOLICITA A VISTORIA NA RESIDENCIA JÁ QUE ESTÁ COM GRANDES RACHADURAS NO LOCAL DEVIDO AS CHUVAS!,DOIS UNIDOS,ALTO DO ROSARIO,RUA COMPOSITOR NIVALDO MENDONÇA N.45 A,Imoveis com Danos/Risco,0,-7.988553550000001,-34.92232574738948,False,1,0.2,5.1,30.0,LVd4,Baixa
8065953922,2022-06-10 11:57:00,11:57,USUÁRIA INFORMA QUE A CASA FOI ALAGADA E GOSTARIA DA VISTORIA DESSA RESIDENCIA PARA VER SE E POSSÍVEL A VOLTA DELA PARA A CASA!,DOIS UNIDOS,DOIS UNIDOS,RIO MORNO N.63,Imoveis Alagados,0,-8.0072114,-34.9070741,False,1,0.0,4.1,15.0,URBANO,Baixa
8023998016,2016-05-10 10:45:00,10:45,usuario solicita de lona para barreira,MACAXEIRA,VILA DA UNIAO,rua campo da uniao n 195,Deslizamentos de Barreiras,1,-8.0057876,-34.9324787,False,1,0.0,15.0,50.0,LVd4,Média
8092651019,2019-07-26 10:00:00,10:00,USUÁRIO SOLICITA COLOCAR LONAS NA PARTE DA BARREIRA QUE A EQUIPE NAO TERMINOU E VISTORIAR UMA ARVORE QUE ESTA NO TERRENO DO VIZINHO ACIMA DA BARREIRA ESTA PENDENDO PARA A CASA DO USUARIO E O POSTO DE SAUDE. AO LADO DO PÓSTO DE SAUDE TEM DUAS ARVORES TAMBEM QUE ESTA NO PROLONGAMENTO DA BARREIRA E ESTA MUITO ALTA.,LINHA DO TIRO,ALTO DA JAQUEIRA,RUA CORREGO DA JAQUEIRA N 134,Arvores em Risco,0,-8.0078701,-34.9014093,False,1,0.6,11.0,28.0,URBANO,Baixa
8039687521,2021-05-05 09:50:00,09:50,"USUÁRIO SOLICITA VISTORIA, POIS A BARREIRA DESLIZOU E O BARRO ESTÁ ENCOSTADO NA PAREDE DO QUARTO",DOIS UNIDOS,ALTO DO MARACANA,"RUA ÁGUA AZUL, 44",Deslizamentos de Barreiras,1,-8.0046357,-34.9055084,False,1,0.0,38.0,32.0,URBANO,Alta
8049186719,2019-04-30 08:56:00,08:56,USUARIA SOLICITA DE URGENCIA DA LONA PARA BARREIRA,IBURA,IBURA DE BAIXO,rua francisco beltrao n 160,Deslizamentos de Barreiras,1,-8.1194303,-34.9412388,False,1,0.0,29.0,47.0,LVd2,Média
8090741119,2019-07-24 09:54:00,09:54,"A BARREIRA DESLIZOU TEM UM PRIMEIRO ANDAR CAIU, ESTA COM ESTALOS E TEM OUTRO PRIMEIRO ANDAR E ARVORES ESTA ENCIMA DA CASA E COM CASAS ACIMA DA BARREIRA PARA CAIR ENCIMA DA USUÁRIA E OUTRO PRIMEIRO ANDAR PRESTES A CAIR. URGENCIA SEM VITIMAS",MACAXEIRA,VILA DA UNIAO,RUA RANUSIA ALVES RODRIGUES N 175,Arvores em Risco,0,-8.0094146,-34.9303986,False,1,4.0,84.0,43.0,A2,Média
8003932316,2016-02-01 08:24:00,08:24,USUARIA INF QUE EXISTE UMA ARVORE NA BARREIRA COM RISCO DE QUEDA. A MESMA PEDE URGENCIA POIS A ARVORE ESTA PROX AO QUARTO DE SUA FILHA,IBURA,VILA DOS MILAGRES,"3TR DES  PEDRO RIBEIRO MALTA, 492",Arvores em Risco,0,-8.107540199999999,-34.949931520289695,False,1,0.0,6.0,35.0,PV1,Média
8065174022,2022-06-09 13:10:00,13:10,"USUÁRIO INFORMA QUE A RESIDENCIA ESTÁ COM A RACHADURA NA BARREIRA DE CIMA ABAIXO E GOSTARIA DE ENTRA NO PROGRAMA PARCERIA PARA UM MURO DE ARRIMO, E AINDA TEM A ÁGUA DO VIZINHO QUE ESTA ATINGINDO A RESIDENCIA DO MORADOR E A RACHADURA ESTÁ AUMENTO MAIS!USUÁRIO INFORMA QUE TEM UMA ÁRVORE EM CIMA DA BARREIRA QUE ESTÁ COM RISCO!",DOIS UNIDOS,ALTO DO ROSARIO,RUA COMPOSITOR INALDO MENDONÇA N.45 A,Arvores em Risco,0,-7.9985791,-34.9163868,False,1,0.0,2.0,42.0,LVd4,Média
8038326216,2016-06-27 11:25:00,11:25,usuaria deseja uma vistoria na casa do seu pai gabriel nascimento da silva pra que seja refeito o muro.,VASCO DA GAMA,VASCO DA GAMA,rua supia,Imoveis com Danos/Risco,0,-8.011396,-34.9205522,False,1,0.0,8.0,40.0,A2,Baixa
8011395515,2015-04-16 16:22:00,16:22,"arvore em risco devido ao um pé de mangá de grande porte que está na barreira, verificar pois teme de cair a qualquer momento.",IBURA,LAGOA ENCANTADA,"Rua Doutor Paulo de Biase, nº 56",Arvores em Risco,0,-8.1216495,-34.9471521,False,1,0.0,3.0,73.0,LVd2,Baixa
8066382522,2022-06-11 11:03:00,11:03,CASA COM RACHADURAS E COM ESTALOS NA ESTRUTURA,TORROES,TORROES,"Rua travessa guarita, n 45",Imoveis com Danos/Risco,0,-8.0618637,-34.9360457,False,1,1.4,22.4,10.0,HP,Baixa
8052487422,2022-05-24 21:57:00,21:57,"solicita vistoria, informa que casa esta rachada(muro junto a laje) e devido a chuva esta aumentando a rachadura, esta quase cabendo uma mao (proporcao), e essa casa esta na barreira. agua infiltrando na barreirainforma que a barreira ja tem lona",JORDAO,JORDAO BAIXO,rua elizarda,Deslizamentos de Barreiras,1,-8.1312646,-34.9374056,False,1,2.0,26.9,34.0,LVd2,Média
8053470822,2022-05-25 13:59:00,13:59,"USUÁRIO INFORMA QUE TEM UMA CONSTRUÇÃO NO LOCAL, COM RISCOS AI ACABOU CORRENDO UM DESLIZAMENTO E ACABOU ATINGINDO A CASA DA USUARIA E AINDA ESTA COM PEQUENOS DESLIZAMENTOS!",NOVA DESCOBERTA,CGO. DA AREIA,RUA PAPELEIRA N.09,Deslizamentos de Barreiras,1,-7.9999177,-34.9269306,False,1,0.2,20.7,66.0,LVd4,Média
8025746816,2016-05-16 10:23:00,10:23,"usuaria informa que a barreira deslizou , solicita de urgencia da vistoria",IBURA,ALTO DA BELA VISTA,RUA BARAO DE GRAJAU n 183,Deslizamentos de Barreiras,1,-8.1224062,-34.9379695,False,1,0.0,13.0,41.0,LVd2,Média
8086893917,2017-09-23 16:41:00,16:41,"USUÁRIO INFORMA QUE ARVORE, LOCALIZADA NA BARREIRA, TOMBOU ATINGINDO O TELHADO DE SUA RESIDENCIA. INFORMA QUE EXISTEM OUTRAS ARVORES NESSA BARREIRA E SOLICITA A VISTORIA E RETIRADA DAS MESMAS.",IBURA,UR 02,"Rua Samuel Morse, N 110",Arvores em Risco,0,-8.1168015,-34.9556858,False,1,0.0,1.0,83.0,PV1,Baixa
8024624616,2016-05-11 12:48:00,12:48,usuaria solicita de uma vistoria no muro de arrimo,IBURA,UR 05,Travessa Frei Loureiro  n 58,Muro com Danos,0,-8.1317444,-34.9531773,False,1,0.0,13.0,41.0,LVd2,Média
8006334115,2015-03-06 08:08:00,08:08,"usuaria relata que ja caiu dois muros,o dela e o da vizinha,a mesma esta gravida no local e tem um poste que esta quase caindo.",JORDAO,JORDAO ALTO,rua elesbao veloso nº 38,Postes em Risco,0,-8.129395,-34.9366238,False,1,0.0,59.0,43.0,LVd2,Baixa
8027582722,2022-03-22 09:29:00,09:29,USUARIO SOLICITA COLOCAÇÃO DE LONA PLASTICA.PRECISA CAPINAÇÃO. INFORMA QUE TEM DUAS  ARVORES NA BARREIRA PRECISA CORTAR.,JORDAO,JORDAO BAIXO,"RUA ALBERTO LUNDRGUEN, 38 B",Arvores em Risco,0,-8.1312646,-34.9374056,False,1,0.4,20.9,34.0,LVd2,Média
8067406522,2022-06-14 11:11:00,11:11,A MESMA INFORMA QUE A CASA DA SUA MAE ESTA COM PAREDE RACHANDO E A CERCA DESABANDO E O VIZINHO COLOCOU UMA CAIDADE TALHA PARA AO QUINTAL DA SUA MAE,GUABIRABA,CGO. DO MARRECO,2 SUBIDA DO CORREGO DO MARRECO N.175,Imoveis com Danos/Risco,0,-7.9967245,-34.9374488,False,1,0.0,0.7,59.0,LVd4,Média
8060258221,2021-07-08 14:13:00,14:13,"USUÁRIO SOLICITA VISTORIA EM ÁRVORE QUE ESTÁ OFERECENDO RISCOS A SUA CASA.SEGUNDO A SOLICITANTE, ELA MORA EM CIMA DE UMA BARREIRA QUE JÁ DESLIZOU ANTERIORMENTE E QUE A ÁRVORE PODE CAIR EM SUA CASA.",JORDAO,JORDAO ALTO,"RUA VERDEJANTE, 16 B",Imoveis com Danos/Risco,0,-8.1326383,-34.9420401,False,1,0.0,0.0,70.0,LVd2,Média
8018434615,2015-06-29 06:54:00,06:54,/USUARIO SOLICITA VISTORIA  EM BARREIRA COM RISCO POIS OCORREU DESLIZAMENTO. O MESMO PEDE URGENCIA,TOTO,TOTO,"RUA   UTINGA,180",Deslizamentos de Barreiras,1,-8.0809081,-34.9707649,False,1,4.2,92.0,26.0,PV1,Baixa
8017992515,2015-06-25 11:05:00,11:05,SOLICITA/SE COLOCAÇÃO DA LONA COM BREVIDADE.,GUABIRABA,CGO. JOSE IDALINO,RUA GUIDO BORNER,Deslizamentos de Barreiras,1,-7.9962875,-34.9336803,False,1,5.0,39.0,66.0,LVd4,Média
8030670221,2021-04-11 02:02:00,02:02,USUÁRIA SOLICITA DE LONA PARA BARREIRA QUE ESTA DESLIZANDO A MESMA ESTA COM BASTANTE MEDO. . SOLICITA DE CAPINAÇÃO . PEDE URGÊNCIA DA EQUIPE NO LOCAL.,NOVA DESCOBERTA,CGO. PEDRO DA COCADA,RUA PLINIO COELHO N 421,Deslizamentos de Barreiras,1,-7.9969368,-34.9281029,False,1,0.6,146.0,70.0,LVd4,Baixa
8065531017,2017-07-19 16:54:00,16:54,BARREIRA AO  LADO DE CASA  E NO TOPO DA BARREIRA ESTÃO CONSTRUINDO CASAS. SOLICITA VISTORIA,JORDAO,JORDAO BAIXO,RUA VISCONDE DO AZUARA,Imoveis com Danos/Risco,0,-8.1312646,-34.9374056,False,1,0.0,3.0,34.0,LVd2,Média
8001305116,2016-01-13 13:38:00,13:38,"USUÁRIA SOLICITA UMA VISTORIA EM SUA CASA, A MESMA INFORMA QUE ESTÁ COM RACHADURAS E ESTÁ COM MEDO. EXISTE UMA BARREIRA NA LATERAL DA CASA.",DOIS UNIDOS,ALTO DO MARACANA,RUA ALMOFALA N 150,Imoveis com Danos/Risco,0,-8.0017611,-34.9053146,False,1,0.0,0.0,28.0,LVd4,Média
8054159820,2020-07-27 07:54:00,07:54,USUÁRIO INFORMA QUE HÁ UM VAZAMENTO NO MURO DE ARRIMO E QUE ESTÁ COLOCANDO EM RISCO A CASA DA SOLICITANTE (MARIA VALDEMIRA). FAVOR VERIFICAR.,BEBERIBE,PORTO DA MADEIRA,"CORREGO CENTRAL, 140",Imoveis com Danos/Risco,0,-8.0078596,-34.8975698,False,1,0.0,2.0,46.0,URBANO,Média
8031039421,2021-04-11 17:34:00,17:34,SOLICITA VISTORIA DA BARREIRA QUE DESLIZOU.,PASSARINHO,ALTO DA BICA,"RUA 4  TRAVESSA CÓRREGO DO CARROCEIRO, N 17",Deslizamentos de Barreiras,1,-7.9840705,-34.9282904,False,1,0.2,146.0,41.0,LVd4,Alta
8078740220,2020-11-09 16:30:00,16:30,INFORMA QUE HOUVE INCÊNDIO E UNS PAREDES CAÍRAM MAS NÃO HOUVE VITIMAS SENDO ASSIM PEDI O APOIO DA DEFESA CIVIL NO LOCAL PARA VERIFICAR SE HA RISCO DE DESABAMENTO PROTOCOLO B1455643 SARGENTO ANDRADE BOMBEIROS DESPACHANTE SIODES,IMBIRIBEIRA,IMBIRIBEIRA,RUA FRANCISCO CORREIA DE MORAES N 125,Incendios,0,-8.1256534,-34.9124883,False,1,0.0,26.0,9.0,HP,Baixa
8066478617,2017-07-21 22:03:00,22:03,"TELEFONE 2: 8416/3739. USUÁRIA INFORMA QUE A BARREIRA DA FRENTE DESLIZOU, A MESMA INFORMA QUE A MAIS DE 1 MÊS QUE PEDE LONA PARA ELA, MAS AINDA NÃO FOI ATENDIDA. PEDE URGÊNCIA NO ATENDIMENTO.",DOIS IRMAOS,SITIO DOS PINTOS,"RUA LUIZ ANTONIO DE ARAUJO, N 227",Deslizamentos de Barreiras,1,-8.0110993,-34.9585766,False,1,0.0,-1.0,18.0,A2,Média
8020935915,2015-07-09 14:32:00,14:32,"a usuaria informa que no local se encontra um muro com muitas rachaduras que esta com risco de cair a qualquer momento,favor verificar com urgencia,riscos de acidentes.",ALTO JOSE DO PINHO,ALTO JOSE DO PINHO,rua valeriano lobo,Muro com Danos,0,-8.0231049,-34.9096692,False,1,0.0,0.0,23.0,URBANO,Média
8038565915,2015-12-17 08:59:00,08:59,"há um cano de 75 da compeça que passa ao lado do seu imovel, e está lhe ocasionando danos ao seu imovel como a cedenção do pizo, rachaduras nas paredes e dentre outros, o mesmo solicita a vistoria para verificar se há algum risco em seu imovel.",IPUTINGA,IPUTINGA,"rua sucupira, n 275",Imoveis com Danos/Risco,0,-8.0280742,-34.9370894,False,1,0.0,0.0,8.0,A2,Baixa
8048168718,2018-04-13 17:09:00,17:09,"USUÁRIA SOLICITA VISTORIA NA LAGE DE SUA RESIDENCIA E NO MURO DE ARRIMO QUE ESTÁ COM RACHADURAS E INFILTRAÇÃO , DEVIDO A UMA CONSTRUÇÃO QUE ESTÃO FAZENDO SOBRE O MESMO E OFERECENDO RISCO  PARA AS RESIDENCIAS PRÓXIMAS. PEDE URGÊNCIA.",DOIS IRMAOS,SITIO SAO BRAS,"RUA SITIO SÃO BRÁS,N 164",Muro com Danos,0,-8.0193199,-34.9569703,False,1,0.0,23.0,20.0,A2,Baixa
8023640816,2016-05-09 16:21:00,16:21,JA HOUVE DESLIZAMENTO PARCIAL DA BARREIRA.,DOIS UNIDOS,ALTO DO MARACANA,"PRIMEIRA TRAVESSA JOSÉ MENEZES DE MEIRA FILHO, 120",Deslizamentos de Barreiras,1,-8.0044956,-34.9066946,False,1,15.8,133.0,35.0,URBANO,Alta
8043113021,2021-05-13 16:23:00,16:23,DESLIZAMENTO DE BARREIRA NÃO CHEGOU A ATINGIR A CASA DO USUÁRIO MAIS PEDAÇOS DELA ESTÁ SE DESPRENDENDO COM FREQUÊNCIA.,GUABIRABA,CGO. JOSE IDALINO,RUA JEQUIRI N 89,Deslizamentos de Barreiras,1,-7.9930052,-34.9322037,False,1,6.2,146.0,67.0,LVd4,Média
8077002419,2019-06-17 14:57:00,14:57,"usuária informa que a barreira caiu, deseja lona",IBURA,LAGOA ENCANTADA,rua santa joana n 479,Deslizamentos de Barreiras,1,-8.1279729,-34.9515488,False,1,6.0,61.0,38.0,LVd2,Média
8031367317,2017-04-16 09:29:00,09:29,USUARIA SOLICITA REPOSIÇÃO DE LONA PLASTIAS NA BARREIRA POIS A MESMA INFORMA QUE SÃO DUAS BARREIRAS E SOLICITA URGENCIA POSSUI RISCO DE DESLIZAMENTO NO LOCAL,NOVA DESCOBERTA,CGO. DA JOSELIA,"AV. JOSELIA, 1098",Deslizamentos de Barreiras,1,-8.004216,-34.9280182,False,1,0.0,2.0,63.0,LVd4,Alta
8058483417,2017-06-29 16:41:00,16:41,"USUARIO INFORMA DESLIZAMENTO DE BARREIRA DURANTE A MADRUGADA,EXISTE UMA VALA EM CIMA DA BARREIRA, POSIU MATO E LIXO",LINHA DO TIRO,CGO. DO TIRO,RUA PROFESSOR JOSE AMARINHO DOS REIS,Deslizamentos de Barreiras,1,-8.0080906,-34.9078692,False,1,0.0,48.0,15.0,URBANO,Baixa
8031062016,2016-05-31 12:44:00,12:44,USUARIO DESEJA A COLOCAÇAO DE LONA NA BARREIRA,DOIS IRMAOS,SITIO SAO BRAS,RUA BAROA DE CAPIBARIBE,Imoveis com Danos/Risco,0,-8.0193199,-34.9569703,False,1,0.0,1.0,20.0,A2,Baixa
8059709222,2022-06-01 13:02:00,13:02,"A VIZINHA CAVOU O PÉ DE MURO  E COM A CHUVA PIOROU. A COLUNA ESTÁ TRONCHA, DESCOBERTA SÃO UMAS SEIS COLUNAS E ESTÁ INCLINANDO. O MURO TEM 10 M DE FRENTE, ESTÁ RACHADO E FICA NA FRENTE DA CASA DONA LUCICLEIDE  SOLICITA A VISTORIA.",JORDAO,JORDAO BAIXO,RUA PROFESSORA ACELINA CAMARA,Muro com Danos,0,-8.1312646,-34.9374056,False,1,0.2,2.7,34.0,LVd2,Média
8089220119,2019-07-22 12:38:00,12:38,"sra. solicita a vistoria em um quartinho que esta com danos na paredes, onde apresenta grandes rachaduras.",BEBERIBE,PORTO DA MADEIRA,av vereador otarcilio de azevedo,Imoveis com Danos/Risco,0,-8.0070244,-34.8883412,False,1,5.4,48.0,12.0,LVd4,Baixa
